weekday;inscription;name;address
SEXTA-FEIRA;63908;PRACA DO CERQUILHO SEXTA-FEIRA;PC DANILO JOSE FERNANDES,PENHA,SÃO PAULO
SÁBADO;70319;VILA CAREZZI SÁBADO;RUA GENERAL SOCRATES, 32,PENHA,SÃO PAULO
SÁBADO;70327;VILA SANTANA SÁBADO;RUA ENEAS DE BARROS, 425,VL SANTANA,SÃO PAULO
SÁBADO;70335;JOSE MASCARENHAS SÁBADO;AV MELCHERT, 1515,VL MATILDE,SÃO PAULO
SÁBADO;70378;CIDADE PATRIARCA SÁBADO;RUA CACHOEIRA PAULISTA, 80,CID PATRIARCA,SÃO PAULO
SÁBADO;70505;CIDADE A E CARVALHO SÁBADO;RUA TALES DE MILETO, 392,CID A E CARVALHO,SÃO PAULO
SÁBADO;71064;PADRE MANOEL DA NOBREGA SÁBADO;RUA PDE FRANCISCO DE TOLEDO, S/N,ITAQUERA COHAB I,SÃO PAULO
SÁBADO;71161;IMPERIAL SÁBADO;AV GENTIL BRAGA, 38,VL BUENOS AYRES,SÃO PAULO
SÁBADO;71463;PRACA SANTA QUITERIA SÁBADO;RUA JOSE ALOYSIO BRANDAO VILELA, S/N,JD NORDESTE,SÃO PAULO
SÁBADO;72141;JARDIM PIRATININGA SÁBADO;RUA ADELINA LINHARES, S/N,JD PIRATININGA,SÃO PAULO
DOMINGO;10596;VILA OLIMPIA DOMINGO;RUA HELION POVOA, 165,VL OLIMPIA,SÃO PAULO
DOMINGO;10812;CIDADE MONCOES DOMINGO;AV NOVA INDEPENDENCIA, S/N,CID MONCOES,SÃO PAULO
DOMINGO;11339;HEITOR PENTEADO DOMINGO;RUA OSCAR FREIRE, 1850,SUMARE,SÃO PAULO
DOMINGO;11983;HADDOCK LOBO DOMINGO;AL LORENA, S/N,JD AMERICA,SÃO PAULO
TERÇA-FEIRA;30279;BREJO ALEGRE TERÇA-FEIRA;RUA INDIANA, 1428,STO AMARO,SÃO PAULO
TERÇA-FEIRA;30457;BROOKLIM PAULISTA TERÇA-FEIRA;RUA ROQUE PETRELA,BROOKLIM PAULISTA,SÃO PAULO
TERÇA-FEIRA;30651;PINHEIROS TERÇA-FEIRA;PC BENEDITO CALIXTO, 251,PINHEIROS,SÃO PAULO
TERÇA-FEIRA;31372;CHACARA ITAIM TERÇA-FEIRA;RUA PROF TAMANDARE DE TOLEDO, S/N,JD PAULISTA,SÃO PAULO
QUARTA-FEIRA;40690;JARDIM DAS BANDEIRAS QUARTA-FEIRA;RUA LUMINARIAS, S/N,JD DAS BANDEIRAS,SÃO PAULO
QUARTA-FEIRA;40746;EPEIRA QUARTA-FEIRA;RUA PDE ARTUR SOMENSI, 48,VL BEATRIZ,SÃO PAULO
QUARTA-FEIRA;40797;CIDADE MONCOES QUARTA-FEIRA;RUA PENSYLVANIA, S/N,CID MONCOES,SÃO PAULO
QUARTA-FEIRA;41564;FERNAO CARDIM QUARTA-FEIRA;RUA FERNAO CARDIM, S/N,CERQUEIRA CESAR,SÃO PAULO
QUINTA-FEIRA;50059;JARDIM AMERICA QUINTA-FEIRA;RUA BARAO DE CAPANEMA, S/N,JD AMERICA,SÃO PAULO
QUINTA-FEIRA;50148;CERQUEIRA CEZAR QUINTA-FEIRA;RUA ANTONIO BICUDO, 50,CERQUEIRA CEZAR,SÃO PAULO
QUINTA-FEIRA;50520;PORTO QUINTA-FEIRA;RUA JOAO CACHOEIRA, 1643,VL OLIMPIA,SÃO PAULO
QUINTA-FEIRA;50571;AMARO CAVALHEIRO QUINTA-FEIRA;RUA AMARO CAVALHEIRO, S/N,PINHEIROS,SÃO PAULO
QUINTA-FEIRA;50601;VILA IDA QUINTA-FEIRA;RUA REALENGO, S/N,VL IDA,SÃO PAULO
SEXTA-FEIRA;60062;JARDIM PAULISTA SEXTA-FEIRA;RUA CAP PINTO FERREIRA, S/N,JD PAULISTA,SÃO PAULO
SEXTA-FEIRA;60453;VILA UBERABINHA SEXTA-FEIRA;RUA BALUARTE, 514,VL OLIMPIA,SÃO PAULO
SEXTA-FEIRA;60631;BROOKLIN PAULISTA SEXTA-FEIRA;RUA GODOI COLACO, 1016,BROOKLIN PAULISTA,SÃO PAULO
SEXTA-FEIRA;60640;DARDANELOS SEXTA-FEIRA;RUA DARDANELOS, 306,LAPA,SÃO PAULO
SÁBADO;70173;IGUATEMI SÁBADO;RUA SAO MARUM, 520,ITAIM BIBI,SÃO PAULO
SÁBADO;70181;VILA MADALENA SÁBADO;RUA MOURATO COELHO, S/N,VL MADALENA,SÃO PAULO
DOMINGO;10413;VILA BONILHA DOMINGO;RUA ANTONIO CORREIA, 618,VL BONILHA,SÃO PAULO
DOMINGO;11410;JARDIM SAO JOAO DOMINGO;RUA PASTORIL DE ALMENARA, S/N,PQ PAN AMERICANO,SÃO PAULO
DOMINGO;11975;JARDIM JOSE MARIA DOMINGO;RUA SALTO DE ITARARE, S/N,JD JOSE MARIA,SÃO PAULO
DOMINGO;12440;JARDIM CITY JARAGUA DOMINGO;RUA SAMUEL BOVY, 00S/N,JARDIM CITY JARAGUA,SÃO PAULO
DOMINGO;13900;SANTA MONICA DOMINGO;RUA AMILCAR DE MAGALHAES,PIRITUBA,SÃO PAULO
TERÇA-FEIRA;30678;JARDIM SAO JOSE TERÇA-FEIRA;RUA PDE MARIANO RONCHI, 1,JD SAO JOSE,SÃO PAULO
TERÇA-FEIRA;30783;PARQUE SAO DOMINGOS TERÇA-FEIRA;RUA BRIG HENRIQUE FORTINELLI, 132,PQ SAO DOMINGUES,SÃO PAULO
TERÇA-FEIRA;31470;PARQUE NACOES UNIDAS TERÇA-FEIRA;RUA CIRIACO JIMENEZ, S/N,PQ NACOES UNIDAS,SÃO PAULO
TERÇA-FEIRA;31585;VILA AURORA TERÇA-FEIRA;RUA ALEIXOS JAFET,VILA AURORA,SÃO PAULO
QUARTA-FEIRA;40290;PIQUERI QUARTA-FEIRA;RUA SALVADOR SALA, 425,PIQUERI,SÃO PAULO
QUARTA-FEIRA;40665;CHACARA INGLESA QUARTA-FEIRA;RUA PEDRO MARIGLIANI, 23,CHAC INGLESA,SÃO PAULO
QUARTA-FEIRA;40878;JARDIM REGINA QUARTA-FEIRA;RUA PDE MARCIGAGLIA, 19,JD REGINA,SÃO PAULO
QUARTA-FEIRA;40940;JARDIM PANAMERICANO QUARTA-FEIRA;RUA ANTONIO SEBASTIAO SOBRINHO, 480,PQ PAN AMERICANO,SÃO PAULO
QUARTA-FEIRA;41246;JARDIM IPANEMA QUARTA-FEIRA;RUA VASCO BALBOA, S/N,JD IPANEMA,SÃO PAULO
QUARTA-FEIRA;41289;JARDIM CIDADE PIRITUBA QUARTA-FEIRA;RUA GONCALVES DE BARROS, S/N,JD PIRITUBA,SÃO PAULO
QUARTA-FEIRA;41866;PIRITUBA QUARTA-FEIRA;AV ELISIO CORDEIRO DE SIQUEIRA,JARIDM,SÃO PAULO
QUINTA-FEIRA;50393;JARDIM SAO JOSE QUINTA-FEIRA;RUA VIGARIO DE GODOY, 11,VL ZATT,SÃO PAULO
QUINTA-FEIRA;50555;VILA MANGALOT QUINTA-FEIRA;RUA SANDOVAL FERREIRA CABRAL, S/N,VL JAGUARA,SÃO PAULO
QUINTA-FEIRA;50660;ESTRADA DA PARADA QUINTA-FEIRA;RUA FRAGATA DA CONSTITUICAO, 1,PARADA DE TAIPAS,SÃO PAULO
QUINTA-FEIRA;50865;ANHEMBI QUINTA-FEIRA;RUA COLONIAL DO IRAI, 250,JD MAGGI,SÃO PAULO
QUINTA-FEIRA;51810;JARDIM SANTA MONICA QUINTA-FEIRA;AV SANTA MONICA,JARDIM SANTA MONICA,SÃO PAULO
SEXTA-FEIRA;60534;MUTINGA SEXTA-FEIRA;RUA MARIA LUCIA DUARTE, 35,VL MUTINGA,SÃO PAULO
SEXTA-FEIRA;60658;JARAGUA SEXTA-FEIRA;RUA LAVRINHA, 18,VL JARAGUA,SÃO PAULO
SEXTA-FEIRA;61387;JARDIM RINCAO SEXTA-FEIRA;RUA DR CARMELO D'AGOSTINHO, S/N,JD RINCAO,SÃO PAULO
SEXTA-FEIRA;61700;SERRA DO CACHIMBO SEXTA-FEIRA;RUA SERRA DO CACHIMBO, 00S/N,JARDIM VITORIA,SÃO PAULO
SEXTA-FEIRA;63800;PARADA DE TAIPAS SEXTA-FEIRA;RUA JOSE PIZZA,PARADA DE TAIPAS,SÃO PAULO
SEXTA-FEIRA;64009;JARDIM MARISA SEXTA-FEIRA;RUA JOSE PEREIRA FALCAO,JARDIM MARISA,SÃO PAULO
SÁBADO;70289;PIRITUBA SÁBADO;RUA SANTA CRUZ DE LA SIERRA, 1,PIRITUBA,SÃO PAULO
SÁBADO;70610;VILA MIRANTE SÁBADO;RUA POVOADO DO RIO NOVO, 15,VL MIRANTE,SÃO PAULO
SÁBADO;70645;JARDIM MONTE ALEGRE SÁBADO;RUA JURUBIM, 10,PIRITUBA,SÃO PAULO
SÁBADO;70653;PRACA VISTA ALEGRE SÁBADO;RUA JOSE ATALIBA ORTIZ, 32,VL MANGALOT,SÃO PAULO
SÁBADO;71021;JARDIM DA FELICIDADE SÁBADO;RUA LAUDELINO VIEIRA DE CAMPOS, 146,JD DA FELICIDADE,SÃO PAULO
SÁBADO;71099;CIDADE D ABRIL SÁBADO;RUA MAURO ARAUJO RIBEIRO, 46,CID D ABRIL,SÃO PAULO
SÁBADO;71390;JARDIM MARILU SÁBADO;RUA MAXIMO BARBOSA, S/N,JD MARILU,SÃO PAULO
SÁBADO;71579;JARDIM N SRA APARECIDA SÁBADO;RUA LARANJEIRAS DO SUL, S/N,PIRITUBA,SÃO PAULO
SÁBADO;71706;FEIRAO ESPECIAL DE PIRITUBA SÁBADO;PC MONSENHOR ESCRIVA, S/N,JD SAO JOSE,SÃO PAULO
SÁBADO;72001;COHAB PAULISTANO SÁBADO;RUA VALE DO SOL,PARADA DE TAIPAS,SÃO PAULO
SÁBADO;72400;VILA NOVA ESPERANCA SÁBADO;RUA CALDAS NOVAS,VILA NOVA ESPERANCA,SÃO PAULO
DOMINGO;11266;JARDIM DO RUSSO DOMINGO;RUA ENG NOGUEIRA SOARES, 45,JD DO RUSSO,SÃO PAULO
DOMINGO;12181;JARDIM BRITANIA DOMINGO;RUA FLORENCIO CARPI, S/N,JD BRITANIA,SÃO PAULO
DOMINGO;12300;VILA FANTON DOMINGO;RUA FELIPE CARDOSO CAMPOS, S/N,VL FANTON,SÃO PAULO
TERÇA-FEIRA;30538;PERUS TERÇA-FEIRA;RUA JOAO BATISTIA FANTON, 3,VL FONTON,SÃO PAULO
QUINTA-FEIRA;51853;VILA CAIUBA QUINTA-FEIRA;RUA IRITUA,VILA CAIUBA,SÃO PAULO
SEXTA-FEIRA;60720;VILA OPERARIA SEXTA-FEIRA;RUA RAPHAEL DI SANDRO, 13,PERUS,SÃO PAULO
SEXTA-FEIRA;61239;VILA MALVINA SEXTA-FEIRA;RUA TIBURNO, S/N,VL MALVINA,SÃO PAULO
SEXTA-FEIRA;61514;PERUS SEXTA-FEIRA;RUA ANTONIO BARTOLOMEU, S/N,VL PERUS,SÃO PAULO
SÁBADO;72036;JARDIM JARAGUA SÁBADO;RUA PRESIDENTE FELIX PAIVA, S/N,JD JARAGUA,SÃO PAULO
SÁBADO;72257;RECANTO DOS HUMILDES SÁBADO;RUA RECANTO DOS HUMILDES, S/N,RECANTO DOS HUMILDES,SÃO PAULO
DOMINGO;10146;MANDAQUI DOMINGO;AV ENGENHEIRO CAETANO ALVARES, S/N,MANDAQUI,SÃO PAULO
DOMINGO;10189;SANTA TEREZINHA DOMINGO;RUA VICENTE SOARES, S/N,STA TEREZINHA,SÃO PAULO
DOMINGO;10235;TUCURUVI DOMINGO;RUA CASA FORTE, S/N,TUCURUVI,SÃO PAULO
DOMINGO;10510;JARDIM TREMEMBE DOMINGO;RUA MERE MARIE ANNAIS DO SION, S/N,VL NOVA MAZZEI,SÃO PAULO
DOMINGO;10529;VILA GUSTAVO DOMINGO;RUA CANEDOS, S/N,VILA GUSTAVO,SÃO PAULO
TERÇA-FEIRA;30317;AGUA FRIA TERÇA-FEIRA;RUA AURELIANO LEAL, S/N,AGUA FRIA,SÃO PAULO
TERÇA-FEIRA;30325;PARQUE VITORIA TERÇA-FEIRA;AV MAESTRO VILA LOBOS, 917,PQ VITORIA,SÃO PAULO
TERÇA-FEIRA;30589;ITAICY TERÇA-FEIRA;RUA ITAICY, S/N,STA TEREZINHA,SÃO PAULO
TERÇA-FEIRA;34002;MANDAQUI TERÇA-FEIRA;RUA GENERAL JOSE ALMEIDA BOTELHO,MANDAQUI,SÃO PAULO
QUARTA-FEIRA;40150;SANTANA QUARTA-FEIRA;RUA GABRIEL PIZZA, S/N,SANTANA,SÃO PAULO
QUARTA-FEIRA;40169;JARDIM SAO BENTO QUARTA-FEIRA;RUA CAP MANOEL NOVAES, S/N,JD SAO BENTO,SÃO PAULO
QUARTA-FEIRA;40177;CHORA MENINO QUARTA-FEIRA;RUA DR EUGENIO FORTES COELHO, S/N,CHORA MENINO,SÃO PAULO
QUARTA-FEIRA;40320;TANQUE VELHO QUARTA-FEIRA;RUA TANQUE VELHO, 455,VL GUSTAVO,SÃO PAULO
QUARTA-FEIRA;40339;CONEGO LADEIRA QUARTA-FEIRA;RUA ARAGAO, S/N,VL MAZZEI,SÃO PAULO
QUARTA-FEIRA;40622;SANTA INES QUARTA-FEIRA;RUA ANA DE BARROS, S/N,STA INES,SÃO PAULO
QUARTA-FEIRA;41017;CABUCU QUARTA-FEIRA;RUA MARIA DO CARMO SENE, S/N,VL PAULICEIA,SÃO PAULO
QUARTA-FEIRA;41254;JOAO PESSOA QUARTA-FEIRA;RUA RIBEIRAO DO SALTO, S/N,LAUSANE PAULISTA,SÃO PAULO
QUARTA-FEIRA;41335;PALMAS DO TREMEMBE QUARTA-FEIRA;PC ANTONIO JOSE DE ARAUJO, S/N,PALMAS DO TREMEMBE,SÃO PAULO
QUINTA-FEIRA;50261;MANOEL SOVERAL QUINTA-FEIRA;RUA ANTONIO PEREIRA DE SOUZA, S/N,SANTANA,SÃO PAULO
QUINTA-FEIRA;50326;ALTO DO MANDAQUI QUINTA-FEIRA;RUA ALVARO GOMES, S/N,SANTANA,SÃO PAULO
QUINTA-FEIRA;53805;SANTANA QUINTA-FEIRA;AV ENGENHEIRO CAETANO ALVARES,SANTANA,SÃO PAULO
SEXTA-FEIRA;60127;AREAL SEXTA-FEIRA;RUA TUPIGUAES, S/N,SANTANA,SÃO PAULO
SEXTA-FEIRA;60208;CHORA MENINO SEXTA-FEIRA;RUA PROF LOURIVAL GOMES MACHADO, S/N,VL STA TEREZINHA,SÃO PAULO
SEXTA-FEIRA;60216;JARDIM SAO PAULO SEXTA-FEIRA;RUA PROF JOAQUIM OZORIO DE AZEVEDO, S/N,JD SAO PAULO,SÃO PAULO
SEXTA-FEIRA;60402;AV SAO PAULO SEXTA-FEIRA;AV MAESTRO VILLA LOBOS, 3881,TUCURUVI,SÃO PAULO
SEXTA-FEIRA;60712;VILA AURORA SEXTA-FEIRA;RUA ALBERTINA VIEIRA DA S GORDO, S/N,VL AURORA,SÃO PAULO
SÁBADO;70203;IMIRIM SÁBADO;RUA FRANCISCA BIRIBA, S/N,IMIRIM,SÃO PAULO
SÁBADO;70211;SANTANA SÁBADO;RUA PEDRO RIBEIRO, S/N,SANTANA,SÃO PAULO
SÁBADO;70467;VILA CONSTANCIA SÁBADO;RUA SEBASTIAO DE FREITAS, 246,VL CONSTANCA,SÃO PAULO
SÁBADO;70548;BORGES SÁBADO;RUA CRUZ DE MALTA, 312,RODRIGUES ALVES,SÃO PAULO
SÁBADO;70556;LAUZANE PAULISTA SÁBADO;RUA DONA MARIA CUSTODIA, S/N,LAUZANE PAULISTA,SÃO PAULO
SÁBADO;70580;SANTO ANTONIO SÁBADO;PC SALVADOR TOLEZANO, S/N,LAUZANE PAULISTA,SÃO PAULO
SÁBADO;70920;HERISON SÁBADO;RUA HERISON, S/N,LAUZANE PAULISTA,SÃO PAULO
DOMINGO;10774;CAMPO GRANDE DOMINGO;RUA ARNALDO MAGNICARO, 398,JD JURUBATUBA,SÃO PAULO
DOMINGO;10901;SANTO AMARO DOMINGO;AV MARIO LOPES LEAO, 700,STO AMARO,SÃO PAULO
DOMINGO;12050;FEIRAO ECON C DE PORTO ALEGRE DOMINGO;RUA CONDE DE PORTO ALEGRE, S/N,CAMPO BELO,SÃO PAULO
TERÇA-FEIRA;30163;JOAO DIAS TERÇA-FEIRA;RUA DO CARREIRO DE PEDRA, 98,VL CRUZEIRO,SÃO PAULO
TERÇA-FEIRA;31291;GIL EANES TERÇA-FEIRA;RUA GIL EANES, S/N,CAMPO BELO,SÃO PAULO
QUARTA-FEIRA;40509;CAMPO BELO QUARTA-FEIRA;RUA BARAO DE JACEGUAI, 1768,STO AMARO,SÃO PAULO
QUARTA-FEIRA;40525;CHACARA SANTO ANTONIO QUARTA-FEIRA;RUA ALEXANDRE DUMAS, 1316,CHAC STO ANTONIO,SÃO PAULO
QUARTA-FEIRA;40835;PIRAQUARA QUARTA-FEIRA;RUA CRISTOVAO PEREIRA, 1223,CAMPO BELO,SÃO PAULO
QUARTA-FEIRA;40851;VILA ISA QUARTA-FEIRA;RUA AMOIPIRA, S/N,VL ISA,SÃO PAULO
QUINTA-FEIRA;50024;JARDIM AEROPORTO QUINTA-FEIRA;RUA TAPES, 683,JD AEROPORTO,SÃO PAULO
QUINTA-FEIRA;50598;BROOKLIN PAULISTA QUINTA-FEIRA;RUA CONDE DE PORTO ALEGRE, 762,CAMPO BELO,SÃO PAULO
QUINTA-FEIRA;50717;CONGONHAS QUINTA-FEIRA;AV INVERNADA, 351,CONGONHAS,SÃO PAULO
QUINTA-FEIRA;50741;MONARK QUINTA-FEIRA;RUA DA PAZ, 1201,CHAC STO ANTONIO,SÃO PAULO
QUINTA-FEIRA;51870;SANTO AMARO QUINTA-FEIRA;RUA SAO BENEDITO,SANTO AMARO,SÃO PAULO
SEXTA-FEIRA;60755;DEODORO SEXTA-FEIRA;RUA COMEN ELIAS ZARZUR, S/N,STO AMARO,SÃO PAULO
SEXTA-FEIRA;60763;JARDIM CONSORCIO SEXTA-FEIRA;RUA JOAO BATISTA DI VITORIANO, 150,JD CONSORCIO,SÃO PAULO
SEXTA-FEIRA;60801;VILA ARRIETE SEXTA-FEIRA;RUA ORLANDO PINTO RIBEIRO, 277,VL ARRIETE,SÃO PAULO
SEXTA-FEIRA;60976;VILA SAO PEDRO SEXTA-FEIRA;PC ALEXANDRE N AKSAKOF, 777,VL SAO PEDRO,SÃO PAULO
SEXTA-FEIRA;61611;CHACARA FLORA SEXTA-FEIRA;RUA FREI CANISIO, S/N,VL SOFIA,SÃO PAULO
SEXTA-FEIRA;63606;SANTO AMARO SEXTA-FEIRA;AV PROF ALCEU MAYNARD ARAUJO,VARZEA DE BAIXO,SÃO PAULO
SÁBADO;70084;CONJUNTO ASTOR SÁBADO;RUA HELADE, S/N,VL STA CATARINA,SÃO PAULO
SÁBADO;70165;PARQUE JABAQUARA SÁBADO;RUA BONIFACIO DE ABREU, S/N,PQ JABAQUARA,SÃO PAULO
SÁBADO;70424;IGUATINGA SÁBADO;RUA ENG TOMAS WHATELY, 250,STO AMARO,SÃO PAULO
SÁBADO;70726;PETROPOLIS SÁBADO;RUA BELA VISTA, 602,VL UNIAO,SÃO PAULO
SÁBADO;70734;PIRAQUARA SÁBADO;RUA OTAVIO TARQUINIO DE SOUZA, 1319,PIRAQUARA,SÃO PAULO
SÁBADO;70742;SABARA SÁBADO;RUA JOAQUIM NEVES MONTEIRO, 228,STO AMARO,SÃO PAULO
DOMINGO;10472;JARDIM SAO VICENTE DOMINGO;AV PROF ASSIS VELOSO, 817,JD SAO VICENTE,SÃO PAULO
DOMINGO;10634;JARDIM HELENA DOMINGO;RUA CAMOMILA, 852,JD HELENA,SÃO PAULO
DOMINGO;11029;VILA MARA DOMINGO;RUA SAO GONCALO DO RIO DAS PEDRAS, 132,PQ PAULISTANO,SÃO PAULO
DOMINGO;11258;VILA ITAIM DOMINGO;RUA CACHOEIRA MANGAVAL, 37,ITAIM PAULISTA,SÃO PAULO
DOMINGO;11428;VILA PROGRESSO DOMINGO;RUA CRIUVA, 12E,VL PROGRESSO,SÃO PAULO
DOMINGO;11711;VILA JACUI DOMINGO;RUA TEJUGUACU, S/N,VL JACUI,SÃO PAULO
DOMINGO;12092;VILA NORMA DOMINGO;RUA GLICERIO RODRIGUES, S/N,VL NORMA,SÃO PAULO
DOMINGO;12203;SAO FRANCISCO DOMINGO;AV JOSE MARTINS LISBOA, S/N,SAO FRANCISCO,SÃO PAULO
TERÇA-FEIRA;30848;LIMOEIRO TERÇA-FEIRA;AV MANOEL DOS SANTOS BRAGA, 251,LIMOEIRO,SÃO PAULO
TERÇA-FEIRA;31100;JOSE NUNES TERÇA-FEIRA;AV PAU D'ARCO ROXO, 220,CID PEDRO JOSE NUNES,SÃO PAULO
TERÇA-FEIRA;31119;PARQUE SONIA TERÇA-FEIRA;RUA INAJA GUACU, S/N,VL PROGRESSO,SÃO PAULO
TERÇA-FEIRA;31240;JARDIM MAIA TERÇA-FEIRA;RUA FRANCISCO ANTONIO MEIRA, S/N,JD MAIA,SÃO PAULO
TERÇA-FEIRA;31429;VILA SILVESTRE TERÇA-FEIRA;AV ANTONIO BERNARDO SILVESTRE, S/N,VL SAO SILVESTRE,SÃO PAULO
QUARTA-FEIRA;40436;VILA JACUI QUARTA-FEIRA;RUA TSUTOMU HENNI, 717,VL JACUI,SÃO PAULO
QUARTA-FEIRA;40681;VILA HELENA QUARTA-FEIRA;RUA SANTA ROSA DE LIMA, 301,PQ PAULISTANO,SÃO PAULO
QUARTA-FEIRA;40720;CECILIA ITER QUARTA-FEIRA;AV MONS AGNELO, 305,VL PROGRESSO,SÃO PAULO
QUARTA-FEIRA;41068;JARDIM ROMANO QUARTA-FEIRA;RUA DIOGO GONCALVES LACO, 41,JD ROMANO,SÃO PAULO
QUINTA-FEIRA;50806;JARDIM VERA CRUZ QUINTA-FEIRA;AV MOACIR DANTAS ITAPICURU, 826,CID NOVA S MIGUEL,SÃO PAULO
QUINTA-FEIRA;50920;VILA NOEMIA QUINTA-FEIRA;RUA VISTOSA DE MADRE DE DEUS, 51,JD NOEMIA,SÃO PAULO
QUINTA-FEIRA;51055;JARDIM DAS CAMELIAS QUINTA-FEIRA;RUA LIRIO DA SERRA, 18,JD DAS CAMELIAS,SÃO PAULO
QUINTA-FEIRA;51489;JARDIM SAO MARTINHO QUINTA-FEIRA;AV BORBOLETA AMARELA, S/N,JD SAO MARTINHO,SÃO PAULO
SEXTA-FEIRA;60461;BAQUIRIVU SEXTA-FEIRA;RUA HELIO VESSONI, 95,VL SINHA,SÃO PAULO
SEXTA-FEIRA;60860;ITAPOA SEXTA-FEIRA;RUA OLEGARIO MACIEL, 19,JD SAO CARLOS,SÃO PAULO
SEXTA-FEIRA;61069;SAO MIGUEL SEXTA-FEIRA;RUA SILVIO CERVELLINI, 14,SAO MIGUEL,SÃO PAULO
SÁBADO;70688;JARDIM SANTANA SÁBADO;RUA FRUTO DO PARAISO, 12,JD SANTANA,SÃO PAULO
SÁBADO;70980;PARQUE CRUZEIRO DO SUL SÁBADO;RUA ANTONIO DE SIQUEIRA, 330,PQ CRUZEIRO DO SUL,SÃO PAULO
SÁBADO;71595;CHACARA TRES MENINAS SÁBADO;AV PEDROSO DA SILVA,CHAC TRES MENINAS,SÃO PAULO
SÁBADO;72184;VILA MONTE SANTO SÁBADO;RUA QUILOMBO DO AMBROSIO, S/N,VL MONTE SANTO,SÃO PAULO
DOMINGO;10014;THOMAZ DE LIMA DOMINGO;RUA TEIXEIRA LEITE, S/N,LIBERDADE,SÃO PAULO
DOMINGO;10030;VILA DEODORO DOMINGO;RUA INGLES DE SOUZA, 618,CAMBUCI,SÃO PAULO
DOMINGO;10111;SANTA CECILIA DOMINGO;RUA SEBASTIAO PEREIRA, 553,STA CECILIA,SÃO PAULO
DOMINGO;11304;PONTE PEQUENA DOMINGO;RUA GUAPORE, 210,PONTE PEQUENA,SÃO PAULO
DOMINGO;11541;CONSOLACAO DOMINGO;RUA MAJOR QUEDINHO, S/N,CONSOLACAO,SÃO PAULO
DOMINGO;11754;SANTA EFIGENIA DOMINGO;RUA DOS ANDRADAS, S/N,STA EFIGENIA,SÃO PAULO
DOMINGO;11924;ANHANGABAU DOMINGO;RUA SANTO AMARO, S/N,BELA VISTA,SÃO PAULO
